id,image
3,pictures/AFIF-dhanvardhini-Wardha-Ta Deoli-Kavtha-Nov20.jpeg
5,pictures/AFIF-AAA-Gadchiroli-Kurkheda-Neharpalli-Aug20.jpeg
6,pictures/AFIF-AAA-Chandrapur-Brahmpuri-tulanmendh-Sept 20.jpeg
7,pictures/AFIF-Swargiy Rakhmabai-Chandrapur-nagbhid-Balapur(Bu)- Nov 20.jpeg
8,pictures/AFIF-Swargiyrakhmabai-Chandrapur-Shindevai-Navegaon-Nov20.jpeg
10,pictures/AFIF-Muktangan-Yavatmal-kalamb-shivni-nov 20
11,pictures/AFIF-ChaitanyaSevaTrust-Palghar-Wada-Guhir-AUg20.jpeg
12,pictures/AFIF-ShriSamarathGramVikas-Osmanabad-Bhoom-Pathrud-Sept20.jpeg
13,pictures/AFIF-Parivartan-Osmanabad-Tuljapur-Naldurg-Aug20.jpeg
14,pictures/AFIF-AmbedkarshetiSanshodhan-Kolhapur--Shirol-Herwad-Dec 20.jpeg
